date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:29	159661/159661	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Oct%202021%2022:15:24%20GMT	https://code-theme.com/html/findhouses/index.html	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/index.html	(from )
19:12:30	708/708	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Jul%202022%2012:12:29%20GMT	https://code-theme.com/robots.txt		(from )
19:12:31	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Tue,%2010%20Apr%202018%2022:25:58%20GMT	https://code-theme.com/html/findhouses/favicon.ico	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/favicon.ico	(from https://code-theme.com/html/findhouses/index.html)
19:12:31	58376/58376	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202018%2008:22:44%20GMT	https://code-theme.com/html/findhouses/css/jquery-ui.css	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/css/jquery-ui.css	(from https://code-theme.com/html/findhouses/index.html)
19:12:32	1158/1158	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Sep%202021%2023:15:00%20GMT	https://code-theme.com/html/findhouses/font/flaticon.css	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/font/flaticon.css	(from https://code-theme.com/html/findhouses/index.html)
19:12:32	35359/35359	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20Mar%202018%2002:30:50%20GMT	https://code-theme.com/html/findhouses/css/fontawesome-all.min.css	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/css/fontawesome-all.min.css	(from https://code-theme.com/html/findhouses/index.html)
19:12:32	57912/57912	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jan%202021%2022:58:06%20GMT	https://code-theme.com/html/findhouses/css/fontawesome-5-all.min.css	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/css/fontawesome-5-all.min.css	(from https://code-theme.com/html/findhouses/index.html)
19:12:32	31000/31000	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Dec%202016%2020:50:34%20GMT	https://code-theme.com/html/findhouses/css/font-awesome.min.css	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/css/font-awesome.min.css	(from https://code-theme.com/html/findhouses/index.html)
19:12:33	4182/4182	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Jan%202021%2023:50:46%20GMT	https://code-theme.com/html/findhouses/css/search.css	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/css/search.css	(from https://code-theme.com/html/findhouses/index.html)
19:12:33	60720/60720	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Sep%202021%2001:15:54%20GMT	https://code-theme.com/html/findhouses/css/animate.css	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/css/animate.css	(from https://code-theme.com/html/findhouses/index.html)
19:12:33	26053/26053	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jul%202018%2018:40:38%20GMT	https://code-theme.com/html/findhouses/css/aos.css	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/css/aos.css	(from https://code-theme.com/html/findhouses/index.html)
19:12:33	133/133	---M--	200	added ('OK')	text/css	date:Sat,%2002%20Oct%202021%2005:10:14%20GMT	https://code-theme.com/html/findhouses/css/aos2.css	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/css/aos2.css	(from https://code-theme.com/html/findhouses/index.html)
19:12:34	6951/6951	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Jun%202017%2005:11:48%20GMT	https://code-theme.com/html/findhouses/css/magnific-popup.css	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/css/magnific-popup.css	(from https://code-theme.com/html/findhouses/index.html)
19:12:35	17010/17010	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Apr%202017%2017:39:18%20GMT	https://code-theme.com/html/findhouses/css/lightcase.css	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/css/lightcase.css	(from https://code-theme.com/html/findhouses/index.html)
19:12:35	2936/2936	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202017%2008:43:12%20GMT	https://code-theme.com/html/findhouses/css/owl.carousel.min.css	C:/My%20Web%20Sites/md5/code-theme.com/html/findhouses/css/owl.carousel.min.css	(from https://code-theme.com/html/findhouses/index.html)
